initialCase,cited_by,Case
90043,cited by,99796
89354,cited by,89354
89354,cited by,118148
89354,cited by,118134
89354,cited by,112768
89354,cited by,112456
89354,cited by,112357
89354,cited by,110560
89354,cited by,110018
89354,cited by,108767
89354,cited by,106336
89354,cited by,105825
89354,cited by,103644
92702,cited by,118511
92702,cited by,118323
92702,cited by,118318
92702,cited by,118316
92702,cited by,118317
92702,cited by,118134
92702,cited by,118011
92702,cited by,112641
92702,cited by,112318
92702,cited by,112291
92702,cited by,111949
92702,cited by,111362
92702,cited by,110753
92702,cited by,110034
92702,cited by,108990
92702,cited by,108763
92702,cited by,106821
92702,cited by,102294
92702,cited by,102271
92702,cited by,92767
94174,cited by,112643
94174,cited by,111104
94174,cited by,103214
94174,cited by,102843
94174,cited by,99610
94174,cited by,95471
89626,cited by,102963
89626,cited by,93940
89746,cited by,90760
89746,cited by,102167
90001,cited by,104914
90001,cited by,104303
90001,cited by,102294
90001,cited by,96745
90001,cited by,94239
90272,cited by,104894
90272,cited by,94239
90272,cited by,94174
90760,cited by,118361
90760,cited by,112643
90760,cited by,112471
90760,cited by,110413
91050,cited by,112768
92252,cited by,122254
92252,cited by,111104
92252,cited by,108523
92252,cited by,106775
92252,cited by,100926
92252,cited by,100240
92252,cited by,95043
92252,cited by,92702
91400,cited by,118454
92767,cited by,142893
92767,cited by,117927
92767,cited by,102402
93137,cited by,95500
93137,cited by,112173
93137,cited by,108767
93137,cited by,106447
93137,cited by,102111
93137,cited by,100926
93137,cited by,95504
93413,cited by,118395
93413,cited by,117935
93413,cited by,110904
93413,cited by,108153
93413,cited by,107783
93413,cited by,106366
93413,cited by,104999
93413,cited by,100926
93413,cited by,95471
94239,cited by,111948
94239,cited by,103214
94239,cited by,102843
94239,cited by,99610
94239,cited by,95471
94876,cited by,112357
95043,cited by,108767
95043,cited by,103846
95043,cited by,95504
95471,cited by,109835
95471,cited by,104328
95471,cited by,100926
95471,cited by,99610
95471,cited by,95538
95471,cited by,95504
95500,cited by,106447
95500,cited by,106366
95500,cited by,105525
95500,cited by,104914
95500,cited by,95538
95504,cited by,112382
95504,cited by,108767
95504,cited by,106447
95504,cited by,106366
95504,cited by,105525
95504,cited by,102111
95504,cited by,95538
95681,cited by,110659
96745,cited by,103644
96745,cited by,118363
96745,cited by,117927
96745,cited by,110881
96745,cited by,106821
97538,cited by,112768
97538,cited by,106366
97538,cited by,104222
97538,cited by,100240
100240,cited by,142895
100240,cited by,118299
100240,cited by,112747
100240,cited by,109087
100240,cited by,109086
100240,cited by,107731
100240,cited by,106366
100240,cited by,104894
100240,cited by,102843
100240,cited by,102111
102843,cited by,118317
102843,cited by,112768
102843,cited by,112625
102843,cited by,107731
100926,cited by,122254
100926,cited by,121162
100926,cited by,118238
100926,cited by,118148
100926,cited by,118146
100926,cited by,118113
100926,cited by,112920
100926,cited by,112625
100926,cited by,112305
100926,cited by,112173
100926,cited by,112139
100926,cited by,111756
100926,cited by,111308
100926,cited by,110985
100926,cited by,110762
100926,cited by,109499
100926,cited by,109380
100926,cited by,107082
100926,cited by,105018
100926,cited by,104894
100926,cited by,104303
100926,cited by,102475
101488,cited by,118363
101488,cited by,102042
102042,cited by,102843
102111,cited by,110365
102111,cited by,110315
102111,cited by,108767
102111,cited by,106447
102111,cited by,103214
102111,cited by,102475
102167,cited by,137001
102167,cited by,117841
102167,cited by,107554
102167,cited by,106966
102167,cited by,106366
102167,cited by,105659
102167,cited by,105018
102167,cited by,104894
102167,cited by,102294
102271,cited by,118511
102271,cited by,118318
102271,cited by,118317
102271,cited by,118148
102271,cited by,118134
102271,cited by,118011
102271,cited by,112641
102271,cited by,112444
102271,cited by,112291
102271,cited by,111949
102271,cited by,111308
102271,cited by,110753
102271,cited by,110034
102271,cited by,108990
102271,cited by,108763
102271,cited by,106821
102271,cited by,106447
102271,cited by,103609
102271,cited by,102294
102294,cited by,106966
102402,cited by,1087961
102402,cited by,142893
102402,cited by,118111
102402,cited by,112534
102402,cited by,108221
102402,cited by,106723
102402,cited by,104388
102402,cited by,102963
102475,cited by,118511
102475,cited by,118148
102475,cited by,112644
102475,cited by,112305
102475,cited by,112173
102475,cited by,112139
102475,cited by,111759
102475,cited by,111756
102475,cited by,110985
102475,cited by,110762
102475,cited by,109380
102475,cited by,109101
102475,cited by,105018
102475,cited by,104303
103214,cited by,118428
103214,cited by,110365
103214,cited by,106447
98915,cited by,99796
2483664,cited by,137006
2483664,cited by,112930
2483664,cited by,105825
99154,cited by,109772
99154,cited by,106447
99154,cited by,102271
99610,cited by,118428
99610,cited by,110365
99610,cited by,106447
99610,cited by,103214
99610,cited by,102111
99621,cited by,106366
99621,cited by,99621
99796,cited by,117927
99796,cited by,109380
102963,cited by,1087961
102963,cited by,112739
102963,cited by,104009
103438,cited by,108818
103438,cited by,130156
103438,cited by,118379
103438,cited by,112534
103438,cited by,109628
103438,cited by,105371
103438,cited by,103609
103609,cited by,130156
103609,cited by,118428
103609,cited by,110564
103609,cited by,106775
103609,cited by,106366
103644,cited by,112456
103846,cited by,108153
104009,cited by,130156
104009,cited by,110881
104132,cited by,137001
104132,cited by,104914
104222,cited by,112768
104222,cited by,112646
104222,cited by,111949
104222,cited by,111308
104222,cited by,111104
104222,cited by,110308
104222,cited by,109499
104222,cited by,106821
104246,cited by,137001
104246,cited by,106366
104246,cited by,105981
